# 泰深输入法专业词库 — 医学
# 来源：THUOCL 清华开放中文词库（MIT License，https://github.com/thunlp/THUOCL）
# 格式：词 拼音（制表符分隔）；仅收录 system_dict 缺失词条
一年生植物	yinianshengzhiwu
活络止痛丸	huoluozhitongwan
活络油	huoluoyou
活血壮筋丸	huoxuezhuangjinwan
活血应痛丸	huoxueyingtongwan
活血止痛散	huoxuezhitongsan
活血止痛片	huoxuezhitongpian
活血止痛胶囊	huoxuezhitongjiaonang
活血止痛膏	huoxuezhitonggao
活血消炎丸	huoxuexiaoyanwan
活血祛瘀	huoxuequyu
活血胶囊	huoxuejiaonang
活血解毒	huoxuejiedu
活血解毒丸	huoxuejieduwan
活血调经	huoxuetiaojing
活血通经	huoxuetongjing
活血通脉片	huoxuetongmaipian
活血风湿膏	huoxuefengshigao
活髓切断术	huosuiqieduanshu
流式细胞仪	liushixibaoyi
流感丸	liuganwan
流感病毒裂解疫苗	liuganbingduliejieyimiao
流感裂解疫苗	liuganliejieyimiao
流浸膏剂	liujingaoji
流脑疫苗	liunaoyimiao
流行性乙型脑炎	liuxingxingyixingnaoyan
流行性出血热	liuxingxingchuxiere
流行性出血热疫苗	liuxingxingchuxiereyimiao
流行性感冒	liuxingxingganmao
流行性感冒疫苗	liuxingxingganmaoyimiao
流行性斑疹伤寒	liuxingxingbanzhenshanghan
流行性肌痛	liuxingxingjitong
流行性脑炎	liuxingxingnaoyan
流行性脑脊髓膜炎	liuxingxingnaojisuimoyan
流行性腮腺炎	liuxingxingsaixianyan
流行性腹泻	liuxingxingfuxie
流行病学调查	liuxingbingxuediaocha
流行过程	liuxingguocheng
浅二度烧伤	qianerdushaoshang
浅深	qianshen
浅筋膜	qianjinmo
浅部真菌病	qianbuzhenjunbing
浅静脉	qianjingmai
浅龋	qianqu
浆液性炎	jiangyexingyan
浆细胞性乳腺炎	jiangxibaoxingruxianyan
浆细胞瘤	jiangxibaoliu
浆细胞白血病	jiangxibaobaixuebing
测验焦虑	ceyanjiaolv
济川煎	jichuanjian
济生肾气丸	jishengshenqiwan
浓维磷糖浆	nongweilintangjiang
浓缩丸	nongsuowan
浓缩当归丸	nongsuodangguiwan
浙贝	zhebei
浮游物	fuyouwu
海昆肾喜胶囊	haikunshenxijiaonang
海星类	haixinglei
海洋药物	haiyangyaowu
海王金樽	haiwangjinzun
海王银得菲	haiwangyindefei
海珠喘息定片	haizhuchuanxidingpian
海百合类	haibaihelei
海绵动物	haimiandongwu
海绵状淋巴管瘤	haimianzhuanglinbaguanliu
海绵状血管瘤	haimianzhuangxueguanliu
海绵组织	haimianzuzhi
海绵肾	haimianshen
海绵骨针	haimianguzhen
海胆刺伤	haidancishang
海藻多糖空心胶囊	haizaoduotangkongxinjiaonang
海藻糖	haizaotang
海藻酸钙	haizaosuangai
海藻酸钠	haizaosuanna
海豹油	haibaoyou
海马多鞭丸	haimaduobianwan
海马巴戟胶囊	haimabajijiaonang
海马旁回	haimapanghui
海鱼分枝杆菌	haiyufenzhiganjun
浸泡足	jinpaozu
浸润性突眼	jinrunxingtuyan
涂膜剂	tumoji
涂阴肺结核	tuyinfeijiehe
消化内科	xiaohuaneike
消化性溃疡	xiaohuaxingkuiyang
消化道传染病	xiaohuadaochuanranbing
消化道出血	xiaohuadaochuxie
消化道憩室	xiaohuadaoqishi
消咳喘糖浆	xiaokechuantangjiang
消咳宁片	xiaokeningpian
消旋卡多曲	xiaoxuankaduoqu
消旋卡多曲颗粒	xiaoxuankaduoqukeli
消旋山莨菪碱	xiaoxuanshanlangdangjian
消旋山莨菪碱片	xiaoxuanshanlangdangjianpian
消朦胶囊	xiaomengjiaonang
消栓再造丸	xiaoshuanzaizaowan
消栓口服液	xiaoshuankoufuye
消栓通络片	xiaoshuantongluopian
消毒盒	xiaoduhe
消渴丸	xiaokewan
消渴安胶囊	xiaokeanjiaonang
消渴平片	xiaokepingpian
消渴康颗粒	xiaokekangkeli
消渴灵片	xiaokelingpian
消渴灵胶囊	xiaokelingjiaonang
消渴病	xiaokebing
消渴降糖片	xiaokejiangtangpian
消渴降糖胶囊	xiaokejiangtangjiaonang
消炎利胆片	xiaoyanlidanpian
消炎止咳片	xiaoyanzhikepian
消炎止咳胶囊	xiaoyanzhikejiaonang
消炎止痛膏	xiaoyanzhitonggao
消炎止痢灵片	xiaoyanzhililingpian
消炎癣湿药膏	xiaoyanxuanshiyaogao
消炎解毒丸	xiaoyanjieduwan
消炎退热颗粒	xiaoyantuirekeli
消炎镇痛膏	xiaoyanzhentonggao
消痔灵注射液	xiaozhilingzhusheye
消痔软膏	xiaozhiruangao
消痛贴膏	xiaotongtiegao
消痞和胃胶囊	xiaopiheweijiaonang
消瘰丸	xiaoluowan
消癌平口服液	xiaoaipingkoufuye
消癌平片	xiaoaipingpian
消癌平胶囊	xiaoaipingjiaonang
消癌平颗粒	xiaoaipingkeli
消白软膏	xiaobairuangao
消糖灵胶囊	xiaotanglingjiaonang
消糜栓	xiaomishuan
消结安胶囊	xiaojieanjiaonang
消耗性疾病	xiaohaoxingjibing
消肿止痛酊	xiaozhongzhitongding
消胆胺	xiaodanan
消谷善饥	xiaogushanji
消费者行为研究	xiaofeizhexingweiyanjiu
消银胶囊	xiaoyinjiaonang
消食健胃片	xiaoshijianweipian
消食化滞	xiaoshihuazhi
消食颗粒	xiaoshikeli
涎腺	xianxian
润伊容胶囊	runyirongjiaonang
润燥化痰	runzaohuatan
润燥止痒胶囊	runzaozhiyangjiaonang
润肠丸	runchangwan
润肠胶囊	runchangjiaonang
润肠通便	runchangtongbian
润肺止咳	runfeizhike
润肺止嗽丸	runfeizhisouwan
润肺膏	runfeigao
润通胶囊	runtongjiaonang
涩肠止泻	sechangzhixie
液体制剂	yetizhiji
液体药剂	yetiyaoji
液性暗区	yexinganqu
液气胸	yeqixiong
液氮冷冻治疗	yedanlengdongzhiliao
液泡膜	yepaomo
淀粉样变性	dianfenyangbianxing
淀粉浆	dianfenjiang
淀粉粒	dianfenli
淀粉酶口服液	dianfenmeikoufuye
淋巴上皮癌	linbashangpiai
淋巴器官	linbaqiguan
淋巴囊肿	linbanangzhong
淋巴循环	linbaxunhuan
淋巴母细胞	linbamuxibao
淋巴水肿	linbashuizhong
淋巴滤泡	linbalvpao
淋巴管炎	linbaguanyan
淋巴管瘤	linbaguanliu
淋巴管肌瘤病	linbaguanjiliubing
淋巴系统	linbaxitong
淋巴组织	linbazuzhi
淋巴细胞减少症	linbaxibaojianshaozheng
淋巴细胞白血病	linbaxibaobaixuebing
淋巴细胞计数	linbaxibaojishu
淋巴结肿大	linbajiezhongda
淋巴肉瘤	linbarouliu
淋巴肉芽肿	linbarouyazhong
淋菌性尿道炎	linjunxingniaodaoyan
淋菌性结膜炎	linjunxingjiemoyan
淋菌性阴道炎	linjunxingyindaoyan
淡色库蚊	dansekuwen
淤积性皮炎	yujixingpiyan
淫羊藿	yinyanghuo
淫羊藿苷	yinyanghuogan
深二度烧伤	shenerdushaoshang
深海鱼油	shenhaiyuyou
深覆合	shenfuhe
深覆颌	shenfuhe
深部热疗	shenbureliao
深部真菌病	shenbuzhenjunbing
深静脉	shenjingmai
深龋	shenqu
混合性皮肤	hunhexingpifu
混合性结缔组织病	hunhexingjiedizuzhibing
混合感染	hunheganran
混合抗球蛋白反应	hunhekangqiudanbaifanying
混合淋巴细胞培养	hunhelinbaxibaopeiyang
混合痔	hunhezhi
混合痣	hunhezhi
混合瘤	hunheliu
混合血栓	hunhexueshuan
混悬剂	hunxuanji
混悬液	hunxuanye
混色	hunse
清凉喉片	qinglianghoupian
清凉防暑颗粒	qingliangfangshukeli
清凉鼻舒吸入剂	qingliangbishuxiruji
清咽六味散	qingyanliuweisan
清喉利咽颗粒	qinghouliyankeli
清宫寿桃丸	qinggongshoutaowan
清宫术	qinggongshu
清宫长春胶囊	qinggongchangchunjiaonang
清开灵口服液	qingkailingkoufuye
清开灵注射液	qingkailingzhusheye
清开灵片	qingkailingpian
清开灵胶囊	qingkailingjiaonang
清开灵软胶囊	qingkailingruanjiaonang
清开灵颗粒	qingkailingkeli
清心明目上清丸	qingxinmingmushangqingwan
清心沉香八味丸	qingxinchenxiangbaweiwan
清心莲子饮	qingxinlianziyin
清暑益气	qingshuyiqi
清暑益气丸	qingshuyiqiwan
清暑解毒颗粒	qingshujiedukeli
清气化痰丸	qingqihuatanwan
清洁灌肠	qingjieguanchang
清浊益肾胶囊	qingzhuoyishenjiaonang
清淋颗粒	qinglinkeli
清火栀麦片	qinghuozhimaipian
清火栀麦胶囊	qinghuozhimaijiaonang
清火片	qinghuopian
清火胶囊	qinghuojiaonang
清热八味胶囊	qingrebaweijiaonang
清热凉茶	qingreliangcha
清热凉血	qingreliangxue
清热利湿	qingrelishi
清热剂	qingreji
清热化湿	qingrehuashi
清热化湿口服液	qingrehuashikoufuye
清热化痰	qingrehuatan
清热开窍	qingrekaiqiao
清热明目茶	qingremingmucha
清热暗疮丸	qingreanchuangwan
清热消炎宁胶囊	qingrexiaoyanningjiaonang
清热灵颗粒	qingrelingkeli
清热生津	qingreshengjin
清热祛湿	qingrequshi
清热祛湿颗粒	qingrequshikeli
清热药	qingreyao
清热解毒口服液	qingrejiedukoufuye
清热解毒注射液	qingrejieduzhusheye
清热解毒片	qingrejiedupian
清热解毒胶囊	qingrejiedujiaonang
清热解毒软胶囊	qingrejieduruanjiaonang
清热解毒颗粒	qingrejiedukeli
清热通淋	qingretonglin
清热通淋片	qingretonglinpian
清热通淋胶囊	qingretonglinjiaonang
清瘟解毒	qingwenjiedu
清瘟解毒丸	qingwenjieduwan
清瘟解毒片	qingwenjiedupian
清瘟败毒饮	qingwenbaiduyin
清经散	qingjingsan
清络饮	qingluoyin
清肝利胆口服液	qingganlidankoufuye
清肝降压胶囊	qingganjiangyajiaonang
清肺化痰	qingfeihuatan
清肺化痰丸	qingfeihuatanwan
清肺十八味丸	qingfeishibaweiwan
清肺口服液	qingfeikoufuye
清肺抑火丸	qingfeiyihuowan
清肺抑火片	qingfeiyihuopian
清肺散结丸	qingfeisanjiewan
清肺消炎丸	qingfeixiaoyanwan
清胃汤	qingweitang
清胃黄连丸	qingweihuanglianwan
清胰汤	qingyitang
清脑复神液	qingnaofushenye
清脑降压片	qingnaojiangyapian
清脑降压颗粒	qingnaojiangyakeli
清艾条	qingaitiao
清营凉血	qingyingliangxue
清血八味	qingxuebawei
清血八味胶囊	qingxuebaweijiaonang
清解	qingjie
清金降火汤	qingjinjianghuotang
渊腋穴	yuanyexue
渗出性中耳炎	shenchuxingzhongeryan
渗出性多形红斑	shenchuxingduoxinghongban
渗出性胸膜炎	shenchuxingxiongmoyan
渗出液	shenchuye
渗湿	shenshi
渗透性利尿	shentouxingliniao
渡船街	duchuanjie
温中散寒	wenzhongsanhan
温凉	wenliang
温度感受器	wenduganshouqi
温度效应	wenduxiaoying
温度系数	wenduxishu
温毒发斑	wendufaban
温热经纬	wenrejingwei
温疫	wenyi
温疫论	wenyilun
温病学	wenbingxue
温经活血	wenjinghuoxue
温肾前列胶囊	wenshenqianliejiaonang
温胃舒胶囊	wenweishujiaonang
温胃舒颗粒	wenweishukeli
温脾固肠散	wenpiguchangsan
温郁金	wenyujin
渴乐宁胶囊	keleningjiaonang
游动孢子	youdongbaozi
游戏疗法	youxiliaofa
游泳足	youyongzu
游离二氧化硅	youlieryanghuagui
游离基因	youlijiyin
游离甲状腺素	youlijiazhuangxiansu
游离皮片移植术	youlipipianyizhishu
游离酸	youlisuan
湖北贝母	hubeibeimu
湿困脾阳	shikunpiyang
湿性坏疽	shixinghuaiju
湿敷	shifu
湿毒清胶囊	shiduqingjiaonang
湿毒清软膏	shiduqingruangao
湿法制粒	shifazhili
湿润烧伤膏	shirunshaoshanggao
湿温病	shiwenbing
湿热下注证	shirexiazhuzheng
湿热壅滞证	shireyongzhizheng
湿热症	shirezheng
湿热蕴结证	shireyunjiezheng
湿热证	shirezheng
湿疹样皮炎	shizhenyangpiyan
湿症	shizheng
湿痹	shibi
湿证	shizheng
湿重	shizhong
湿阻	shizu
溃疡性睑缘炎	kuiyangxingjianyuanyan
溃疡性肠炎	kuiyangxingchangyan
溃疡病穿孔	kuiyangbingchuankong
溪黄草	xihuangcao
溯源堂	suyuantang
溴丙胺太林	xiubingantailin
溴甲烷中毒	xiujiawanzhongdu
溴米那普鲁卡因	xiuminapulukayin
溴苯那敏	xiubennamin
溴隐亭	xiuyinting
溶出速度	rongchusudu
溶剂提取	rongjitiqu
溶剂法	rongjifa
溶栓脑通胶囊	rongshuannaotongjiaonang
溶液培养	rongyepeiyang
溶菌	rongjun
溶菌酶含片	rongjunmeihanpian
溶血性贫血	rongxuexingpinxue
溶血性黄疸	rongxuexinghuangdan
溶血素	rongxuesu
溶解度参数	rongjieducanshu
溶解扩散	rongjiekuosan
溶酶体贮积症	rongmeitizhujizheng
滋养体	ziyangti
滋肾	zishen
滋肾育胎丸	zishenyutaiwan
滋补生发片	zibushengfapian
滋补肝肾	zibuganshen
滋补肝肾丸	zibuganshenwan
滋阴清热	ziyinqingre
滋阴潜阳	ziyinqianyang
滋阴益胃	ziyinyiwei
滋阴补肾丸	ziyinbushenwan
滑囊炎	huanangyan
滑石尘肺	huashichenfei
滑膜囊	huamonang
滑膜炎颗粒	huamoyankeli
滑膜肉瘤	huamorouliu
滕卫平	tengweiping
满婷	manting
满山白	manshanbai
满山白糖浆	manshanbaitangjiang
滤泡上皮细胞	lvpaoshangpixibao
滤泡性淋巴瘤	lvpaoxinglinbaliu
滤过率	lvguolv
滤过膜	lvguomo
滴定曲线	didingquxian
滴瓶	diping
滴眼用利福平	diyanyonglifuping
滴耳剂	dierji
滴虫性前列腺炎	dichongxingqianliexianyan
滴虫性尿道炎	dichongxingniaodaoyan
滴虫性阴道炎	dichongxingyindaoyan
滴通鼻炎水	ditongbiyanshui
漂白粉消毒	piaobaifenxiaodu
漂鸟	piaoniao
漆姑草	qigucao
漏出液	louchuye
漏尿	louniao
漏谷穴	louguxue
演替系列	yantixilie
潘佩璆	panpeiqiu
潘木枝	panmuzhi
潜伏梅毒	qianfumeidu
潮汐周期	chaoxizhouqi
澎湖水道	penghushuidao
澳凼大桥	aodangdaqiao
澳泰乐颗粒	aotailekeli
激光刀	jiguangdao
激光手术	jiguangshoushu
激光损伤	jiguangsunshang
激光治疗仪	jiguangzhiliaoyi
激光脱毛术	jiguangtuomaoshu
激动药	jidongyao
激活因子	jihuoyinzi
激素替代疗法	jisutidailiaofa
激肽	jitai
灌木带	guanmudai
灌肠剂	guanchangji
火器伤	huoqishang
火把花根片	huobahuagenpian
火激红斑	huojihongban
火焰子	huoyanzi
灭活疫苗	miehuoyimiao
灭湿痛	mieshitong
灭滴灵	miediling
灭菌剂	miejunji
灭菌技术	miejunjishu
灭菌法	miejunfa
灭菌注射用水	miejunzhusheyongshui
灯台叶片	dengtaiyepian
灯盏生脉胶囊	dengzhanshengmaijiaonang
灯盏细辛	dengzhanxixin
灯盏花注射液	dengzhanhuazhusheye
灯盏花素	dengzhanhuasu
灯盏花素注射液	dengzhanhuasuzhusheye
灯盏花素片	dengzhanhuasupian
灰婴综合征	huiyingzonghezheng
灵丹草颗粒	lingdancaokeli
灵仙	lingxian
灵仙跌打片	lingxiandiedapian
灵兰秘典论	linglanmidianlun
灵精胶囊	lingjingjiaonang
灵芝多糖	lingzhiduotang
灵芝孢子粉	lingzhibaozifen
灵芝孢子粉胶囊	lingzhibaozifenjiaonang
灵芝片	lingzhipian
灵芝益寿胶囊	lingzhiyishoujiaonang
灵芝胶囊	lingzhijiaonang
灼性神经痛	zhuoxingshenjingtong
炉甘石洗剂	luganshixiji
炉甘石粉	luganshifen
炎可宁	yankening
炎可宁片	yankeningpian
炎宁胶囊	yanningjiaonang
炎性假瘤	yanxingjialiu
炎性息肉	yanxingxirou
炎琥宁注射液	yanhuningzhusheye
炎症反应	yanzhengfanying
炎症后色素沉着	yanzhenghousesuchenzhuo
炎立消	yanlixiao
炎立消片	yanlixiaopian
炎立消胶囊	yanlixiaojiaonang
炎见宁片	yanjianningpian
炒决明子	chaojuemingzi
炒白术	chaobaizhu
炒莱菔子	chaolaifuzi
炒葶苈子	chaotinglizi
炒鸡内金	chaojineijin
炒麦芽	chaomaiya
炔雌醇片	guicichunpian
炙甘草	zhigancao
炙甘草汤	zhigancaotang
炙黄芪	zhihuangqi
炭疽杆菌	tanjuganjun
炭疽活疫苗	tanjuhuoyimiao
炮姜	paojiang
炮弹休克	paodanxiuke
点突变	diantubian
烂脚	lanjiao
烟曲霉	yanqumei
烟草花叶病毒	yancaohuayebingdu
烟酸片	yansuanpian
烟酸缓释片	yansuanhuanshipian
烦渴	fanke
烧伤喷雾剂	shaoshangpenwuji
烧伤感染	shaoshangganran
烧伤面积	shaoshangmianji
烧烫伤软膏	shaotangshangruangao
热价	rejia
热休克蛋白	rexiukedanbai
热入心包	reruxinbao
热原	reyuan
热发光	refaguang
热射病	reshebing
热带农业	redainongye
热极生风	rejishengfeng
热毒宁注射液	reduningzhusheye
热毒平颗粒	redupingkeli
热毒症	reduzheng
热毒证	reduzheng
热淋	relin
热淋清片	relinqingpian
热淋清颗粒	relinqingkeli
热激红斑	rejihongban
热炎宁合剂	reyanningheji
热炎宁颗粒	reyanningkeli
热烧伤	reshaoshang
热疗法	reliaofa
热痱搽剂	refeichaji
热痹	rebi
热盛伤津	reshengshangjin
热缺血时间	requexueshijian
热证	rezheng
烷化剂	wanhuaji
焦亚硫酸钠	jiaoyaliusuanna
焦山楂	jiaoshanzha
焦度	jiaodu
焦炉工人肺癌	jiaolugongrenfeiai
焦痂	jiaojia
焦神曲	jiaoshenqu
焦虑性抑郁症	jiaolvxingyiyuzheng
焦虑性障碍	jiaolvxingzhangai
焦虑状态	jiaolvzhuangtai
焦麦芽	jiaomaiya
然谷	rangu
煅牡蛎	duanmuli
煅石膏	duanshigao
煎煮法	jianzhufa
煤工尘肺	meigongchenfei
照海穴	zhaohaixue
熊去氧胆酸	xiongquyangdansuan
熊去氧胆酸片	xiongquyangdansuanpian
熊去氧胆酸胶囊	xiongquyangdansuanjiaonang
熊果酸	xiongguosuan
熊胆丸胶囊	xiongdanwanjiaonang
熊胆川贝口服液	xiongdanchuanbeikoufuye
熊胆救心丸	xiongdanjiuxinwan
熊胆救心丹	xiongdanjiuxindan
熊胆滴眼液	xiongdandiyanye
熊胆痔灵栓	xiongdanzhilingshuan
熊胆痔灵膏	xiongdanzhilinggao
熊胆痔疮膏	xiongdanzhichuanggao
熊胆眼药水	xiongdanyanyaoshui
熊胆胶囊	xiongdanjiaonang
熊胆茵陈口服液	xiongdanyinchenkoufuye
熊胆跌打膏	xiongdandiedagao
熊胆黄芩滴眼液	xiongdanhuangqindiyanye
熔融法	rongrongfa
燥湿化痰	zaoshihuatan
爆炸伤	baozhashang
爪形手	zhaoxingshou
爬行者	paxingzhe
爬行运动	paxingyundong
爱普列特	aipuliete
爱普列特片	aipulietepian
爱维心口服液	aiweixinkoufuye
片姜黄	pianjianghuang
牙体牙髓病学	yatiyasuibingxue
牙冠延长术	yaguanyanchangshu
牙列不齐	yaliebuqi
牙医学	yayixue
牙周组织病	yazhouzuzhibing
牙周翻瓣术	yazhoufanbanshu
牙垫	yadian
牙本质小管	yabenzhixiaoguan
牙本质过敏	yabenzhiguomin
牙椅	yayi
牙槽骨修整术	yacaoguxiuzhengshu
牙源性肿瘤	yayuanxingzhongliu
牙痛一粒丸	yatongyiliwan
牙痛安	yatongan
牙科综合治疗台	yakezonghezhiliaotai
牙科综合治疗机	yakezonghezhiliaoji
牙颌面畸形	yahemianjixing
牙髓摘除术	yasuizhaichushu
牙髓病	yasuibing
牙齿变色	yachibianse
牙齿松动	yachisongdong
牙齿楔状缺损	yachixiezhuangquesun
牙齿漂白术	yachipiaobaishu
牙齿腐蚀	yachifushi
牙龈出血	yayinchuxie
牙龈切除术	yayinqiechushu
牙龈瘘管	yayinlouguan
牙龈肿痛	yayinzhongtong
牛乳钙	niurugai
牛尾海	niuweihai
牛惠生	niuhuisheng
牛皮癣关节炎	niupixuanguanjieyan
牛皮癣性关节炎	niupixuanxingguanjieyan
牛磺熊去氧胆酸	niuhuangxiongquyangdansuan
牛磺胆酸	niuhuangdansuan
牛磺胆酸钠	niuhuangdansuanna
牛磺酸滴眼液	niuhuangsuandiyanye
牛磺酸颗粒	niuhuangsuankeli
牛蒡根	niubanggen
牛黄上清丸	niuhuangshangqingwan
牛黄上清片	niuhuangshangqingpian
牛黄上清胶囊	niuhuangshangqingjiaonang
牛黄千金散	niuhuangqianjinsan
牛黄消炎丸	niuhuangxiaoyanwan
牛黄消炎灵胶囊	niuhuangxiaoyanlingjiaonang
牛黄消炎片	niuhuangxiaoyanpian
牛黄清心丸	niuhuangqingxinwan
牛黄清感胶囊	niuhuangqingganjiaonang
牛黄清火丸	niuhuangqinghuowan
牛黄清肺散	niuhuangqingfeisan
牛黄清肺片	niuhuangqingfeipian
牛黄清胃丸	niuhuangqingweiwan
牛黄蛇胆川贝液	niuhuangshedanchuanbeiye
牛黄蛇胆川贝胶囊	niuhuangshedanchuanbeijiaonang
牛黄解毒片	niuhuangjiedupian
牛黄解毒胶囊	niuhuangjiedujiaonang
牛黄解毒软胶囊	niuhuangjieduruanjiaonang
牛黄降压丸	niuhuangjiangyawan
牛黄降压胶囊	niuhuangjiangyajiaonang
牡荆油胶丸	mujingyoujiaowan
牡蛎碳酸钙颗粒	mulitansuangaikeli
物理医学	wuliyixue
物理因子疗法	wuliyinziliaofa
物理治疗	wulizhiliao
物理治疗学	wulizhiliaoxue
牵张反射	qianzhangfanshe
牵拉性视网膜脱离	qianlaxingshiwangmotuoli
特利加压素	telijiayasu
特发性震颤	tefaxingzhenchan
特子社复	tezishefu
特布他林	tebutalin
特应性	teyingxing
特应性皮炎	teyingxingpiyan
特异性抗原	teyixingkangyuan
特异质反应	teyizhifanying
特拉唑嗪	telazuoqin
特殊检查	teshujiancha
特比萘芬	tebinaifen
特灵眼药	telingyanyao
特级护理	tejihuli
特罗凯	teluokai
特非那丁片	tefeinadingpian
特非那定	tefeinading
特非那定片	tefeinadingpian
犀羚解毒丸	xilingjieduwan
犀角化毒丸	xijiaohuaduwan
犀角地黄丸	xijiaodihuangwan
犀角地黄汤	xijiaodihuangtang
犁鼻器	libiqi
犊鼻穴	dubixue
犬钩端螺旋体病	quangouduanluoxuantibing
状态焦虑	zhuangtaijiaolv
狂犬疫苗	kuangquanyimiao
狂犬病免疫球蛋白	kuangquanbingmianyiqiudanbai
狂犬病疫苗	kuangquanbingyimiao
狂病	kuangbing
狗皮膏	goupigao
独一味	duyiwei
独一味咀嚼片	duyiweijujuepian
独一味胶囊	duyiweijiaonang
独一味软胶囊	duyiweiruanjiaonang
